country_name,continent,sub_continent,year,cantidad,promedio_edad
Afghanistan,Asia,Southern Asia,2005,8,25.6250
Afghanistan,Asia,Southern Asia,2006,4,29.5000
Afghanistan,Asia,Southern Asia,2007,5,26.8000
Afghanistan,Asia,Southern Asia,2008,1,42.0000
Afghanistan,Asia,Southern Asia,2009,2,24.0000
Afghanistan,Asia,Southern Asia,2010,1,31.0000
Afghanistan,Asia,Southern Asia,2011,3,23.0000
Afghanistan,Asia,Southern Asia,2012,6,24.6667
Afghanistan,Asia,Southern Asia,2013,15,24.6667
Afghanistan,Asia,Southern Asia,2014,4,25.7500
Afghanistan,Asia,Southern Asia,2015,12,25.6667
Afghanistan,Asia,Southern Asia,2016,15,26.8000
Albania,Europe,Southern Europe,2005,2,63.5000
Albania,Europe,Southern Europe,2006,1,31.0000
Albania,Europe,Southern Europe,2007,1,32.0000
Albania,Europe,Southern Europe,2008,2,28.0000
Albania,Europe,Southern Europe,2009,2,26.5000
Albania,Europe,Southern Europe,2010,5,24.6000
Albania,Europe,Southern Europe,2011,3,26.6667
Albania,Europe,Southern Europe,2012,2,25.5000
Albania,Europe,Southern Europe,2013,1,40.0000
Albania,Europe,Southern Europe,2014,2,30.0000
Albania,Europe,Southern Europe,2015,7,26.0000
Albania,Europe,Southern Europe,2016,11,29.0909
Algeria,Africa,Northern Africa,2005,2,37.5000
Algeria,Africa,Northern Africa,2007,2,36.5000
Algeria,Africa,Northern Africa,2008,1,32.0000
Algeria,Africa,Northern Africa,2009,3,34.6667
Algeria,Africa,Northern Africa,2010,8,31.0000
Algeria,Africa,Northern Africa,2011,3,30.6667
Algeria,Africa,Northern Africa,2012,4,37.5000
Algeria,Africa,Northern Africa,2013,10,29.2000
Algeria,Africa,Northern Africa,2014,8,28.8750
Algeria,Africa,Northern Africa,2015,12,33.5833
Algeria,Africa,Northern Africa,2016,9,33.3333
Andorra,Europe,Southern Europe,2005,2,18.0000
Andorra,Europe,Southern Europe,2006,1,35.0000
Andorra,Europe,Southern Europe,2007,1,36.0000
Andorra,Europe,Southern Europe,2008,1,37.0000
Andorra,Europe,Southern Europe,2011,2,41.0000
Andorra,Europe,Southern Europe,2013,1,33.0000
Andorra,Europe,Southern Europe,2014,2,31.0000
Andorra,Europe,Southern Europe,2015,2,40.5000
Andorra,Europe,Southern Europe,2016,1,48.0000
Angola,Africa,Middle Africa,2005,1,22.0000
Angola,Africa,Middle Africa,2006,2,29.5000
Angola,Africa,Middle Africa,2007,4,26.2500
Angola,Africa,Middle Africa,2008,3,26.3333
Angola,Africa,Middle Africa,2009,2,28.0000
Angola,Africa,Middle Africa,2010,4,27.5000
Angola,Africa,Middle Africa,2011,6,30.5000
Angola,Africa,Middle Africa,2012,8,41.2500
Angola,Africa,Middle Africa,2013,1,38.0000
Angola,Africa,Middle Africa,2014,1,36.0000
Angola,Africa,Middle Africa,2015,13,21.5385
Angola,Africa,Middle Africa,2016,19,24.3158
Antigua and Barbuda,Americas,Caribbean,2008,1,30.0000
Antillas Neerlandesas,Other,Other,2013,1,60.0000
Antillas Neerlandesas,Other,Other,2015,1,62.0000
Argentina,Americas,South America,2005,6263,30.4835
Argentina,Americas,South America,2006,6114,31.9127
Argentina,Americas,South America,2007,5656,31.8784
Argentina,Americas,South America,2008,5345,32.5302
Argentina,Americas,South America,2009,5453,32.6701
Argentina,Americas,South America,2010,5387,33.3707
Argentina,Americas,South America,2011,5438,32.8468
Argentina,Americas,South America,2012,6548,33.3465
Argentina,Americas,South America,2013,7436,33.9504
Argentina,Americas,South America,2014,8326,33.7157
Argentina,Americas,South America,2015,9605,33.3512
Argentina,Americas,South America,2016,8176,33.2986
Armenia,Asia,Western Asia,2006,2,31.0000
Armenia,Asia,Western Asia,2008,2,41.5000
Armenia,Asia,Western Asia,2009,3,27.0000
Armenia,Asia,Western Asia,2010,1,52.0000
Armenia,Asia,Western Asia,2011,4,25.0000
Armenia,Asia,Western Asia,2012,2,34.0000
Armenia,Asia,Western Asia,2014,2,35.5000
Armenia,Asia,Western Asia,2015,2,35.0000
Armenia,Asia,Western Asia,2016,4,36.2500
Australia,Oceania,Australia and New Zealand,2005,123,32.8211
Australia,Oceania,Australia and New Zealand,2006,160,34.7188
Australia,Oceania,Australia and New Zealand,2007,145,37.4828
Australia,Oceania,Australia and New Zealand,2008,200,34.6650
Australia,Oceania,Australia and New Zealand,2009,186,33.8656
Australia,Oceania,Australia and New Zealand,2010,186,35.1452
Australia,Oceania,Australia and New Zealand,2011,262,33.5992
Australia,Oceania,Australia and New Zealand,2012,291,34.7010
Australia,Oceania,Australia and New Zealand,2013,293,34.5392
Australia,Oceania,Australia and New Zealand,2014,244,34.2623
Australia,Oceania,Australia and New Zealand,2015,235,35.5021
Australia,Oceania,Australia and New Zealand,2016,154,34.2987
Austria,Europe,Western Europe,2005,53,38.2075
Austria,Europe,Western Europe,2006,54,36.2037
Austria,Europe,Western Europe,2007,41,35.3659
Austria,Europe,Western Europe,2008,32,34.6250
Austria,Europe,Western Europe,2009,55,38.7273
Austria,Europe,Western Europe,2010,40,35.8500
Austria,Europe,Western Europe,2011,77,33.9740
Austria,Europe,Western Europe,2012,63,38.0635
Austria,Europe,Western Europe,2013,105,36.5905
Austria,Europe,Western Europe,2014,137,38.3285
Austria,Europe,Western Europe,2015,139,37.8489
Austria,Europe,Western Europe,2016,74,40.2703
Azerbaijan,Asia,Western Asia,2009,3,14.6667
Azerbaijan,Asia,Western Asia,2013,1,31.0000
Azerbaijan,Asia,Western Asia,2014,2,29.5000
Azerbaijan,Asia,Western Asia,2015,1,31.0000
Bahamas,Americas,Caribbean,2005,1,27.0000
Bahamas,Americas,Caribbean,2007,2,36.5000
Bahamas,Americas,Caribbean,2008,1,26.0000
Bahamas,Americas,Caribbean,2014,5,33.0000
Bahamas,Americas,Caribbean,2015,5,34.0000
Bahamas,Americas,Caribbean,2016,1,61.0000
Bangladesh,Asia,Southern Asia,2008,4,38.2500
Bangladesh,Asia,Southern Asia,2009,7,28.8571
Bangladesh,Asia,Southern Asia,2010,4,40.5000
Bangladesh,Asia,Southern Asia,2011,7,30.5714
Bangladesh,Asia,Southern Asia,2012,6,37.6667
Bangladesh,Asia,Southern Asia,2013,2,38.5000
Bangladesh,Asia,Southern Asia,2014,7,32.5714
Bangladesh,Asia,Southern Asia,2015,11,34.2727
Bangladesh,Asia,Southern Asia,2016,21,32.1429
Belarus,Europe,Eastern Europe,2005,7,26.5714
Belarus,Europe,Eastern Europe,2006,2,34.0000
Belarus,Europe,Eastern Europe,2007,8,26.2500
Belarus,Europe,Eastern Europe,2008,11,26.9091
Belarus,Europe,Eastern Europe,2009,14,29.9286
Belarus,Europe,Eastern Europe,2010,20,32.6000
Belarus,Europe,Eastern Europe,2011,26,31.6538
Belarus,Europe,Eastern Europe,2012,27,32.6667
Belarus,Europe,Eastern Europe,2013,18,34.0556
Belarus,Europe,Eastern Europe,2014,12,31.3333
Belarus,Europe,Eastern Europe,2015,35,35.6286
Belarus,Europe,Eastern Europe,2016,17,33.1176
Belgium,Europe,Western Europe,2005,104,35.5192
Belgium,Europe,Western Europe,2006,95,36.9895
Belgium,Europe,Western Europe,2007,72,36.6389
Belgium,Europe,Western Europe,2008,107,36.7477
Belgium,Europe,Western Europe,2009,92,34.6739
Belgium,Europe,Western Europe,2010,91,38.4286
Belgium,Europe,Western Europe,2011,91,38.0000
Belgium,Europe,Western Europe,2012,138,36.2174
Belgium,Europe,Western Europe,2013,123,34.4959
Belgium,Europe,Western Europe,2014,126,34.9206
Belgium,Europe,Western Europe,2015,174,35.5000
Belgium,Europe,Western Europe,2016,131,35.1832
Belize,Americas,Central America,2005,3,24.3333
Belize,Americas,Central America,2006,1,28.0000
Belize,Americas,Central America,2007,3,25.0000
Belize,Americas,Central America,2008,4,28.2500
Belize,Americas,Central America,2009,1,27.0000
Belize,Americas,Central America,2010,5,30.2000
Belize,Americas,Central America,2011,3,38.0000
Belize,Americas,Central America,2012,7,43.1429
Belize,Americas,Central America,2013,2,42.5000
Belize,Americas,Central America,2014,9,37.4444
Belize,Americas,Central America,2015,10,42.6000
Belize,Americas,Central America,2016,6,30.0000
Benin,Africa,Western Africa,2005,2,29.5000
Benin,Africa,Western Africa,2006,1,30.0000
Benin,Africa,Western Africa,2009,2,29.5000
Benin,Africa,Western Africa,2010,1,31.0000
Benin,Africa,Western Africa,2011,1,31.0000
Benin,Africa,Western Africa,2015,2,32.5000
Benin,Africa,Western Africa,2016,3,34.3333
Bermuda,Americas,Northern America,2008,1,60.0000
Bhutan,Asia,Southern Asia,2008,1,39.0000
Bolivia,Americas,South America,2005,2420,26.7537
Bolivia,Americas,South America,2006,2815,27.5321
Bolivia,Americas,South America,2007,7448,26.7277
Bolivia,Americas,South America,2008,5374,27.0435
Bolivia,Americas,South America,2009,7801,27.7477
Bolivia,Americas,South America,2010,7423,28.0746
Bolivia,Americas,South America,2011,9189,28.2220
Bolivia,Americas,South America,2012,17310,28.7300
Bolivia,Americas,South America,2013,30611,28.5533
Bolivia,Americas,South America,2014,34978,28.1760
Bolivia,Americas,South America,2015,39126,27.6467
Bolivia,Americas,South America,2016,27852,27.0689
Bosnia and Herzegovina,Europe,Southern Europe,2005,6,24.0000
Bosnia and Herzegovina,Europe,Southern Europe,2006,2,25.5000
Bosnia and Herzegovina,Europe,Southern Europe,2007,3,26.6667
Bosnia and Herzegovina,Europe,Southern Europe,2008,4,26.2500
Bosnia and Herzegovina,Europe,Southern Europe,2009,2,30.0000
Bosnia and Herzegovina,Europe,Southern Europe,2010,2,30.0000
Bosnia and Herzegovina,Europe,Southern Europe,2011,6,27.6667
Bosnia and Herzegovina,Europe,Southern Europe,2012,8,31.1250
Bosnia and Herzegovina,Europe,Southern Europe,2013,4,35.0000
Bosnia and Herzegovina,Europe,Southern Europe,2014,3,30.3333
Bosnia and Herzegovina,Europe,Southern Europe,2015,39,34.5385
Bosnia and Herzegovina,Europe,Southern Europe,2016,9,35.3333
Botswana,Africa,Southern Africa,2015,1,39.0000
Brazil,Americas,South America,2005,1160,29.0974
Brazil,Americas,South America,2006,1451,30.1275
Brazil,Americas,South America,2007,1810,29.8221
Brazil,Americas,South America,2008,1641,30.3754
Brazil,Americas,South America,2009,1651,30.0987
Brazil,Americas,South America,2010,1818,31.5215
Brazil,Americas,South America,2011,1949,31.4171
Brazil,Americas,South America,2012,2426,31.6191
Brazil,Americas,South America,2013,2252,31.4556
Brazil,Americas,South America,2014,2405,31.2137
Brazil,Americas,South America,2015,3105,31.4663
Brazil,Americas,South America,2016,3276,30.8501
Bulgaria,Europe,Eastern Europe,2005,10,29.9000
Bulgaria,Europe,Eastern Europe,2006,5,39.0000
Bulgaria,Europe,Eastern Europe,2007,18,32.9444
Bulgaria,Europe,Eastern Europe,2008,21,31.6190
Bulgaria,Europe,Eastern Europe,2009,8,32.3750
Bulgaria,Europe,Eastern Europe,2010,17,33.2353
Bulgaria,Europe,Eastern Europe,2011,21,36.1905
Bulgaria,Europe,Eastern Europe,2012,15,38.8667
Bulgaria,Europe,Eastern Europe,2013,26,36.6923
Bulgaria,Europe,Eastern Europe,2014,31,36.0645
Bulgaria,Europe,Eastern Europe,2015,96,34.3750
Bulgaria,Europe,Eastern Europe,2016,109,35.2936
Burkina Faso,Africa,Western Africa,2005,2,28.5000
Burkina Faso,Africa,Western Africa,2006,1,31.0000
Burkina Faso,Africa,Western Africa,2010,1,42.0000
Burkina Faso,Africa,Western Africa,2013,1,22.0000
Burkina Faso,Africa,Western Africa,2016,1,36.0000
Burundi,Africa,Eastern Africa,2009,1,35.0000
Cabo Verde,Africa,Western Africa,2005,1,41.0000
Cabo Verde,Africa,Western Africa,2012,1,48.0000
Cambodia,Asia,South-Eastern Asia,2012,1,25.0000
Cambodia,Asia,South-Eastern Asia,2013,1,26.0000
Cameroon,Africa,Middle Africa,2005,1,29.0000
Cameroon,Africa,Middle Africa,2006,6,24.0000
Cameroon,Africa,Middle Africa,2007,10,25.1000
Cameroon,Africa,Middle Africa,2008,9,26.0000
Cameroon,Africa,Middle Africa,2009,10,26.5000
Cameroon,Africa,Middle Africa,2010,17,29.1765
Cameroon,Africa,Middle Africa,2011,13,27.2308
Cameroon,Africa,Middle Africa,2012,9,29.3333
Cameroon,Africa,Middle Africa,2013,10,30.1000
Cameroon,Africa,Middle Africa,2014,10,29.9000
Cameroon,Africa,Middle Africa,2015,7,34.0000
Cameroon,Africa,Middle Africa,2016,11,30.4545
Canada,Americas,Northern America,2005,272,37.9522
Canada,Americas,Northern America,2006,246,37.9228
Canada,Americas,Northern America,2007,243,38.1811
Canada,Americas,Northern America,2008,294,37.6463
Canada,Americas,Northern America,2009,266,39.7970
Canada,Americas,Northern America,2010,341,38.7771
Canada,Americas,Northern America,2011,387,37.9121
Canada,Americas,Northern America,2012,461,36.6725
Canada,Americas,Northern America,2013,398,36.3216
