country_name,continent,sub_continent,year,cantidad,promedio_edad
Afghanistan,Asia,Southern Asia,2005,1,25.6250
Argentina,Americas,South America,2005,6263,30.4835
Argentina,Americas,South America,2006,6114,31.9127
Argentina,Americas,South America,2007,5656,31.8784
Argentina,Americas,South America,2008,5345,32.5302
Argentina,Americas,South America,2009,5453,32.6701
Argentina,Americas,South America,2010,5387,33.3707
Argentina,Americas,South America,2011,5438,32.8468
Argentina,Americas,South America,2012,6548,33.3465
Argentina,Americas,South America,2013,7436,33.9504
Argentina,Americas,South America,2014,8326,33.7157
Argentina,Americas,South America,2015,9605,33.3512
Argentina,Americas,South America,2016,8176,33.2986
Australia,Oceania,Australia and New Zealand,2005,123,32.8211
Australia,Oceania,Australia and New Zealand,2006,160,34.7188
Australia,Oceania,Australia and New Zealand,2007,145,37.4828
Australia,Oceania,Australia and New Zealand,2008,200,34.6650
Australia,Oceania,Australia and New Zealand,2009,186,33.8656
Australia,Oceania,Australia and New Zealand,2010,186,35.1452
Australia,Oceania,Australia and New Zealand,2011,262,33.5992
Australia,Oceania,Australia and New Zealand,2012,291,34.7010
Australia,Oceania,Australia and New Zealand,2013,293,34.5392
Australia,Oceania,Australia and New Zealand,2014,244,34.2623
Australia,Oceania,Australia and New Zealand,2015,235,35.5021
Australia,Oceania,Australia and New Zealand,2016,154,34.2987
Austria,Europe,Western Europe,2014,137,38.3285
Austria,Europe,Western Europe,2015,139,37.8489
Belgium,Europe,Western Europe,2012,138,36.2174
Belgium,Europe,Western Europe,2013,123,34.4959
Belgium,Europe,Western Europe,2014,126,34.9206
Belgium,Europe,Western Europe,2015,174,35.5000
Belgium,Europe,Western Europe,2016,131,35.1832
Bolivia,Americas,South America,2005,2420,26.7537
Bolivia,Americas,South America,2006,2815,27.5321
Bolivia,Americas,South America,2007,7448,26.7277
Bolivia,Americas,South America,2008,5374,27.0435
Bolivia,Americas,South America,2009,7801,27.7477
Bolivia,Americas,South America,2010,7423,28.0746
Bolivia,Americas,South America,2011,9189,28.2220
Bolivia,Americas,South America,2012,17310,28.7300
Bolivia,Americas,South America,2013,30611,28.5533
Bolivia,Americas,South America,2014,34978,28.1760
Bolivia,Americas,South America,2015,39126,27.6467
Bolivia,Americas,South America,2016,27852,27.0689
Brazil,Americas,South America,2005,1160,29.0974
Brazil,Americas,South America,2006,1451,30.1275
Brazil,Americas,South America,2007,1810,29.8221
Brazil,Americas,South America,2008,1641,30.3754
Brazil,Americas,South America,2009,1651,30.0987
Brazil,Americas,South America,2010,1818,31.5215
Brazil,Americas,South America,2011,1949,31.4171
Brazil,Americas,South America,2012,2426,31.6191
Brazil,Americas,South America,2013,2252,31.4556
Brazil,Americas,South America,2014,2405,31.2137
Brazil,Americas,South America,2015,3105,31.4663
Brazil,Americas,South America,2016,3276,30.8501
Canada,Americas,Northern America,2005,272,37.9522
Canada,Americas,Northern America,2006,246,37.9228
Canada,Americas,Northern America,2007,243,38.1811
Canada,Americas,Northern America,2008,294,37.6463
Canada,Americas,Northern America,2009,266,39.7970
Canada,Americas,Northern America,2010,341,38.7771
Canada,Americas,Northern America,2011,387,37.9121
Canada,Americas,Northern America,2012,461,36.6725
Canada,Americas,Northern America,2013,398,36.3216
Canada,Americas,Northern America,2014,369,37.6098
Canada,Americas,Northern America,2015,290,38.2793
Canada,Americas,Northern America,2016,249,37.2811
Chile,Other,Other,2005,392,33.8444
Chile,Other,Other,2006,173,33.5665
China,Asia,Eastern Asia,2005,1131,33.8064
China,Asia,Eastern Asia,2006,1210,34.7537
China,Asia,Eastern Asia,2007,1517,34.1635
China,Asia,Eastern Asia,2008,1659,33.8493
China,Asia,Eastern Asia,2009,2054,33.6626
China,Asia,Eastern Asia,2010,2041,33.8079
China,Asia,Eastern Asia,2011,2295,33.7617
China,Asia,Eastern Asia,2012,2609,34.1211
China,Asia,Eastern Asia,2013,2669,34.5575
China,Asia,Eastern Asia,2014,3010,34.9409
China,Asia,Eastern Asia,2015,3583,34.5925
China,Asia,Eastern Asia,2016,3569,34.1222
Colombia,Americas,South America,2005,2179,29.5984
Colombia,Americas,South America,2006,3195,30.2166
Colombia,Americas,South America,2007,4834,30.2714
Colombia,Americas,South America,2008,5563,30.0363
Colombia,Americas,South America,2009,7697,30.3595
Colombia,Americas,South America,2010,8921,30.1816
Colombia,Americas,South America,2011,14362,30.3195
Colombia,Americas,South America,2012,20875,30.5910
Colombia,Americas,South America,2013,30138,30.7147
Colombia,Americas,South America,2014,33939,30.6372
Colombia,Americas,South America,2015,44535,30.9317
Colombia,Americas,South America,2016,47352,30.8602
Costa Rica,Americas,Central America,2011,159,29.5786
Costa Rica,Americas,Central America,2012,168,31.5119
Costa Rica,Americas,Central America,2013,171,31.5380
Costa Rica,Americas,Central America,2014,188,30.6915
Costa Rica,Americas,Central America,2015,216,30.9167
Costa Rica,Americas,Central America,2016,155,31.7548
Cuba,Americas,Caribbean,2005,664,37.2470
Cuba,Americas,Caribbean,2006,642,39.9642
Cuba,Americas,Caribbean,2007,736,38.1617
Cuba,Americas,Caribbean,2008,706,38.1487
Cuba,Americas,Caribbean,2009,732,38.3525
Cuba,Americas,Caribbean,2010,744,37.2917
Cuba,Americas,Caribbean,2011,691,38.5904
Cuba,Americas,Caribbean,2012,736,38.3682
Cuba,Americas,Caribbean,2013,740,38.9662
Cuba,Americas,Caribbean,2014,948,38.9357
Cuba,Americas,Caribbean,2015,1559,37.0558
Cuba,Americas,Caribbean,2016,1499,36.2802
Dominican Republic,Americas,Caribbean,2005,172,30.8953
